Instance,Runtime,K,Optimal_Value
50,"{1: 0.007999897003173828, 2: 0.012999773025512695, 5: 0.002000093460083008, 10: 0.003999948501586914}",10,"{1: 0.5678500088457547, 2: 0.6393593511351159, 5: 0.6766075491946025, 10: 0.6766075491946025}"
51,"{1: 0.008999824523925781, 2: 0.006999969482421875, 5: 0.0009999275207519531, 10: 0.0009999275207519531}",3,"{1: 0.4944316199992456, 2: 0.5619066852064657, 5: 0.5686466144639117, 10: 0.5686466144639117}"
52,"{1: 0.006000041961669922, 2: 0.009000062942504883, 5: 0.002000093460083008, 10: 0.003000020980834961}",4,"{1: 0.46726307028245945, 2: 0.568915087030915, 5: 0.5775836875834898, 10: 0.5775836875834897}"
53,"{1: 0.006999969482421875, 2: 0.00800013542175293, 5: 0.0010001659393310547, 10: 0.0009999275207519531}",3,"{1: 0.5400719484934353, 2: 0.6122944267069377, 5: 0.6185678851514161, 10: 0.6185678851514161}"
54,"{1: 0.013000011444091797, 2: 0.01100015640258789, 5: 0.0009999275207519531, 10: 0.002000093460083008}",4,"{1: 0.5811325934342193, 2: 0.654905515360739, 5: 0.6736624592411472, 10: 0.6736624592411473}"
55,"{1: 0.01399993896484375, 2: 0.012000083923339844, 5: 0.002000093460083008, 10: 0.004999876022338867}",3,"{1: 0.5510048679979019, 2: 0.6715020763756667, 5: 0.682132741835624, 10: 0.682132741835624}"
56,"{1: 0.007999897003173828, 2: 0.0019998550415039062, 5: 0.0019998550415039062, 10: 0.0019998550415039062}",10,"{1: 0.611687679359684, 2: 0.7001178868315407, 5: 0.7001178868315407, 10: 0.7001178868315407}"
57,"{1: 0.004999876022338867, 2: 0.012000083923339844, 5: 0.0019998550415039062, 10: 0.003000020980834961}",3,"{1: 0.5353695634733238, 2: 0.6199772343703109, 5: 0.6409622310065192, 10: 0.6409622310065192}"
58,"{1: 0.009999990463256836, 2: 0.01699995994567871, 5: 0.006999969482421875, 10: 0.005000114440917969}",3,"{1: 0.48018553752733756, 2: 0.5868761445687096, 5: 0.6285944561644837, 10: 0.6285944561644837}"
59,"{1: 0.04199981689453125, 2: 0.037999868392944336, 5: 0.003000020980834961, 10: 0.0029997825622558594}",4,"{1: 0.5530266113917623, 2: 0.6422543692702967, 5: 0.6925459704070851, 10: 0.6925459704070852}"
60,"{1: 0.0019998550415039062, 2: 0.003000020980834961, 5: 0.002000093460083008, 10: 0.002000093460083008}",10,"{1: 0.7085400424419916, 2: 0.7085400424419916, 5: 0.7085400424419916, 10: 0.7085400424419916}"
61,"{1: 0.006000041961669922, 2: 0.002000093460083008, 5: 0.0019998550415039062, 10: 0.002000093460083008}",2,"{1: 0.41794717770203077, 2: 0.4661506073154812, 5: 0.4661506073154812, 10: 0.4661506073154812}"
62,"{1: 0.006000041961669922, 2: 0.007999897003173828, 5: 0.0009999275207519531, 10: 0.002000093460083008}",3,"{1: 0.5741828440306019, 2: 0.6343283011524296, 5: 0.6502662431286481, 10: 0.6502662431286481}"
63,"{1: 0.009000062942504883, 2: 0.002000093460083008, 5: 0.002000093460083008, 10: 0.0029997825622558594}",2,"{1: 0.5540511652208987, 2: 0.6459262407647419, 5: 0.6459262407647419, 10: 0.6459262407647419}"
64,"{1: 0.004000186920166016, 2: 0.002000093460083008, 5: 0.002000093460083008, 10: 0.0019998550415039062}",2,"{1: 0.5976637535928131, 2: 0.6334533612609957, 5: 0.6334533612609957, 10: 0.6334533612609957}"
65,"{1: 0.011999845504760742, 2: 0.006999969482421875, 5: 0.0019998550415039062, 10: 0.002000093460083008}",3,"{1: 0.45789336825332805, 2: 0.5336655044010232, 5: 0.5393222807815475, 10: 0.5393222807815475}"
66,"{1: 0.00800013542175293, 2: 0.016000032424926758, 5: 0.0009999275207519531, 10: 0.003000020980834961}",10,"{1: 0.5867729850267434, 2: 0.6519536826197921, 5: 0.6897142768545804, 10: 0.6897142768545804}"
67,"{1: 0.006999969482421875, 2: 0.01100015640258789, 5: 0.002000093460083008, 10: 0.0019998550415039062}",3,"{1: 0.5788818527745545, 2: 0.6234372346794723, 5: 0.6394986447218494, 10: 0.6394986447218494}"
